"date","partner","sector_group","values"
2025-04-01,"VN","Traditional & Basic",17286
2025-05-01,"CN_X_HK","High-Tech & Strategic",236596
2025-05-01,"CN_X_HK","Traditional & Basic",111750
2025-05-01,"EU27_2020_NEA20","High-Tech & Strategic",292980
2025-05-01,"EU27_2020_NEA20","Traditional & Basic",144340
2025-05-01,"US","High-Tech & Strategic",146732
2025-05-01,"US","Traditional & Basic",36560
2025-05-01,"VN","High-Tech & Strategic",19110
2025-05-01,"VN","Traditional & Basic",16968
2025-06-01,"CN_X_HK","High-Tech & Strategic",250303
2025-06-01,"CN_X_HK","Traditional & Basic",122732
2025-06-01,"EU27_2020_NEA20","High-Tech & Strategic",301775
2025-06-01,"EU27_2020_NEA20","Traditional & Basic",145297
2025-06-01,"US","High-Tech & Strategic",167984
2025-06-01,"US","Traditional & Basic",37294
2025-06-01,"VN","High-Tech & Strategic",18811
2025-06-01,"VN","Traditional & Basic",17230
2025-07-01,"CN_X_HK","High-Tech & Strategic",243438
2025-07-01,"CN_X_HK","Traditional & Basic",140527
2025-07-01,"EU27_2020_NEA20","High-Tech & Strategic",289367
2025-07-01,"EU27_2020_NEA20","Traditional & Basic",147695
2025-07-01,"US","High-Tech & Strategic",174502
2025-07-01,"US","Traditional & Basic",35850
2025-07-01,"VN","High-Tech & Strategic",24680
2025-07-01,"VN","Traditional & Basic",18611
2025-08-01,"CN_X_HK","High-Tech & Strategic",206985
2025-08-01,"CN_X_HK","Traditional & Basic",128365
2025-08-01,"EU27_2020_NEA20","High-Tech & Strategic",236389
2025-08-01,"EU27_2020_NEA20","Traditional & Basic",127632
2025-08-01,"US","High-Tech & Strategic",142221
2025-08-01,"US","Traditional & Basic",31033
2025-08-01,"VN","High-Tech & Strategic",25072
2025-08-01,"VN","Traditional & Basic",16853
2025-09-01,"CN_X_HK","High-Tech & Strategic",256677
2025-09-01,"CN_X_HK","Traditional & Basic",135890
2025-09-01,"EU27_2020_NEA20","High-Tech & Strategic",317171
2025-09-01,"EU27_2020_NEA20","Traditional & Basic",159919
2025-09-01,"US","High-Tech & Strategic",176212
2025-09-01,"US","Traditional & Basic",35965
2025-09-01,"VN","High-Tech & Strategic",23219
2025-09-01,"VN","Traditional & Basic",16509
2025-10-01,"CN_X_HK","High-Tech & Strategic",257066
2025-10-01,"CN_X_HK","Traditional & Basic",124278
2025-10-01,"EU27_2020_NEA20","High-Tech & Strategic",309957
2025-10-01,"EU27_2020_NEA20","Traditional & Basic",147995
2025-10-01,"US","High-Tech & Strategic",157810
2025-10-01,"US","Traditional & Basic",35483
2025-10-01,"VN","High-Tech & Strategic",26097
2025-10-01,"VN","Traditional & Basic",15678
