"date","partner","sector_group","values"
2021-01-01,"VN","High-Tech & Strategic",16074
2021-01-01,"VN","Traditional & Basic",9509
2021-02-01,"CN_X_HK","High-Tech & Strategic",155929
2021-02-01,"CN_X_HK","Traditional & Basic",97069
2021-02-01,"EU27_2020_NEA20","High-Tech & Strategic",223174
2021-02-01,"EU27_2020_NEA20","Traditional & Basic",111734
2021-02-01,"US","High-Tech & Strategic",91095
2021-02-01,"US","Traditional & Basic",26468
2021-02-01,"VN","High-Tech & Strategic",12811
2021-02-01,"VN","Traditional & Basic",10055
2021-03-01,"CN_X_HK","High-Tech & Strategic",203413
2021-03-01,"CN_X_HK","Traditional & Basic",110373
2021-03-01,"EU27_2020_NEA20","High-Tech & Strategic",259098
2021-03-01,"EU27_2020_NEA20","Traditional & Basic",128622
2021-03-01,"US","High-Tech & Strategic",116854
2021-03-01,"US","Traditional & Basic",31675
2021-03-01,"VN","High-Tech & Strategic",16153
2021-03-01,"VN","Traditional & Basic",11619
2021-04-01,"CN_X_HK","High-Tech & Strategic",192508
2021-04-01,"CN_X_HK","Traditional & Basic",87349
2021-04-01,"EU27_2020_NEA20","High-Tech & Strategic",234610
2021-04-01,"EU27_2020_NEA20","Traditional & Basic",115004
2021-04-01,"US","High-Tech & Strategic",102285
2021-04-01,"US","Traditional & Basic",30330
2021-04-01,"VN","High-Tech & Strategic",11954
2021-04-01,"VN","Traditional & Basic",10353
2021-05-01,"CN_X_HK","High-Tech & Strategic",188380
2021-05-01,"CN_X_HK","Traditional & Basic",90810
2021-05-01,"EU27_2020_NEA20","High-Tech & Strategic",223523
2021-05-01,"EU27_2020_NEA20","Traditional & Basic",118426
2021-05-01,"US","High-Tech & Strategic",103540
2021-05-01,"US","Traditional & Basic",30466
2021-05-01,"VN","High-Tech & Strategic",12929
2021-05-01,"VN","Traditional & Basic",10980
2021-06-01,"CN_X_HK","High-Tech & Strategic",183415
2021-06-01,"CN_X_HK","Traditional & Basic",98833
2021-06-01,"EU27_2020_NEA20","High-Tech & Strategic",238162
2021-06-01,"EU27_2020_NEA20","Traditional & Basic",126321
2021-06-01,"US","High-Tech & Strategic",113774
2021-06-01,"US","Traditional & Basic",31585
2021-06-01,"VN","High-Tech & Strategic",15960
2021-06-01,"VN","Traditional & Basic",10693
2021-07-01,"CN_X_HK","High-Tech & Strategic",187194
2021-07-01,"CN_X_HK","Traditional & Basic",104624
2021-07-01,"EU27_2020_NEA20","High-Tech & Strategic",214435
2021-07-01,"EU27_2020_NEA20","Traditional & Basic",117746
2021-07-01,"US","High-Tech & Strategic",96373
