freq,stk_flow,indic_et,partner,sitc06,geo,TIME_PERIOD,values
M,IMP,TRD_VAL,VN,SITC6,EA20,2020-05-01,230.5
M,IMP,TRD_VAL,VN,SITC7,EA20,2020-05-01,1103.1
M,IMP,TRD_VAL,VN,SITC8,EA20,2020-05-01,544.9
M,IMP,TRD_VAL,CN_X_HK,SITC5,EA20,2020-06-01,1838.5
M,IMP,TRD_VAL,CN_X_HK,SITC6,EA20,2020-06-01,5456.7
M,IMP,TRD_VAL,CN_X_HK,SITC7,EA20,2020-06-01,14042.4
M,IMP,TRD_VAL,CN_X_HK,SITC8,EA20,2020-06-01,5810.7
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC5,EA20,2020-06-01,3322.5
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC6,EA20,2020-06-01,5061.1
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC7,EA20,2020-06-01,16065.1
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC8,EA20,2020-06-01,4795.3
M,IMP,TRD_VAL,US,SITC5,EA20,2020-06-01,4229
M,IMP,TRD_VAL,US,SITC6,EA20,2020-06-01,759.2
M,IMP,TRD_VAL,US,SITC7,EA20,2020-06-01,4593.5
M,IMP,TRD_VAL,US,SITC8,EA20,2020-06-01,1642.4
M,IMP,TRD_VAL,VN,SITC5,EA20,2020-06-01,20.2
M,IMP,TRD_VAL,VN,SITC6,EA20,2020-06-01,237.1
M,IMP,TRD_VAL,VN,SITC7,EA20,2020-06-01,1551.4
M,IMP,TRD_VAL,VN,SITC8,EA20,2020-06-01,712.6
M,IMP,TRD_VAL,CN_X_HK,SITC5,EA20,2020-07-01,1600.5
M,IMP,TRD_VAL,CN_X_HK,SITC6,EA20,2020-07-01,5097.6
M,IMP,TRD_VAL,CN_X_HK,SITC7,EA20,2020-07-01,14755.2
M,IMP,TRD_VAL,CN_X_HK,SITC8,EA20,2020-07-01,7077.4
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC5,EA20,2020-07-01,3293
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC6,EA20,2020-07-01,5116.5
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC7,EA20,2020-07-01,15979.4
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC8,EA20,2020-07-01,4888.3
M,IMP,TRD_VAL,US,SITC5,EA20,2020-07-01,3697.8
M,IMP,TRD_VAL,US,SITC6,EA20,2020-07-01,750.7
